"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","470uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C3,C4,C5","3","47uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C6,C7,C8,C9,C10","5","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C14","1","100uF(50V)","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C15","1","0.1uF(50V)","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","1N5822","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.diodes.com/_files/datasheets/ds23022.pdf"
"D2","1","RED LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"J2","1","LEDSTRIPS_DATA_ALIMENTATIION","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm",""
"J3","1","BOARD_ALIMENTATION","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"J5","1","ESP_FLASH_PIN","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"J6","1","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"L1","1","68uH","","","","Inductor_SMD_Wurth:L_Wurth_WE-LQSH-4020",""
"Q1,Q2","2","SS8050","","","","Package_TO_SOT_SMD:SOT-23","http://www.secosgmbh.com/datasheet/products/SSMPTransistor/SOT-23/SS8050.pdf"
"R1","1","5.1K(1%)","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R4,R5","2","1K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R6,R7,R9","3","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R11,R12,R13,R14","4","330R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RV1","1","10K","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"SW2,SW3","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm",""
"U1","1","LM2596T-ADJ","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","ESP32-WROOM-32E","","","","RF_Module:ESP32-WROOM-32E","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf"
"U5","1","74AHCT125","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.ti.com/lit/ds/symlink/sn74ahct125.pdf"
